Excavation Siglum;Excavation Numbers;Clemens 2001;Clemens 2001 type;Description;Genre;Object Type;Museum Number;Archive/General area;detail in general;Full TEO Findspot;Topographic Point;Find Depth;Associated Text;Script;Language;Size;KTU3;possible relevant (religious) genres;seal;note
RS;['18.300'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal;;;RS 18.300;Alphabetic;Ugaritic;57 x 35 x 20;4.428;;;
RS;['18.301[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;;Palais Royal «Palais, déblais» (ed. pr.);;;RS 18.301 [A];Alphabetic;Ugaritic;30 x 46 x 22;4.429;;;
RS;['18.301[B]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Room 90 archive;Palais Royal, room 90, p.t. 1437 ? 1,80;1437;1,8;RS 18.301 [B];Alphabetic;Ugaritic;48 x 46 x 13;4.430;;;
RS;['10.035'];;;Tablet, Alphabetic Ugaritic;;Tablet;M3417 = A2802;Northwest of the tell;;Butte NW Tell «S.R. 1876 ? 1,55»;;;RS 10.035;Alphabetic;Ugaritic;48 x 49 x 20;4.46;;;
RS;['19.['20.400Aa', '20.400Aa=19.[264Aa]'];;;Tablet;;Tablet;;Royal Palace;;Royal Palace, room 81;1537;;RS 19.[264Aa-Bb];Alphabetic;Ugaritic;;3.27;;;
RS;['19.001'];;;Tablet, Syllabic Cypro-Minoan;;Tablet;DO 4988;House of Yabninu;;Palais Sud, room 203, p.t. 1675 ? 2,30;1675;2,3;RS 19.001;Cypro-Minoan;Cypro-Minoan?;25 x 27 x 14;;;;
RS;['19.002'];;;Tablet, Syllabic Cypro-Minoan;;Tablet;DO 4989;House of Yabninu;;"Palais Sud, room 203, p.t. 1670 ? 2,15; p.t. 1677 ? 2,30";1670;;RS 19.002;Cypro-Minoan;Cypro-Minoan?;39 x 66 x 24;;;;
RS;['19.003'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 4990;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.003;Alphabetic;Ugaritic;72 x 55 x 17;4.607;;;
RS;['17.350[C]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Residential District;;Quartier Résidentiel, p.t. 1079-1080 ? 2,10-2,40;;;RS 17.350 [C];Logosyllabic;Akkadian;13 x 22 x 19;;;;
RS;['17.351A'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1204 ? 3,20;1204;3,2;RS 17.351A;Logosyllabic;Akkadian;48 x 33 x 20;;;;
RS;['17.351B'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1204 ? 3,20;1204;3,2;RS 17.351B;Logosyllabic;Akkadian;29 x 23 x 24;;;;
RS;['17.351C'];;;Tablet, Logosyllabic Akkadian;;Tablet;;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1204 ? 3,20;1204;3,2;RS 17.351C;Logosyllabic;Akkadian;16 x 23 x 19;;;;
RS;['17.352'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4688;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1172 ? 2,10;1172;2,1;RS 17.352;Logosyllabic;Akkadian;103 x 77 x 32;;;;
RS;['17.353'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4689;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1154 ? 1,80;1154;1,8;RS 17.353;Logosyllabic;Akkadian;86 x 84 x 22;;;;
RS;['17.354'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4690;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 720 ? 3,0;720;3;RS 17.354;Logosyllabic;Akkadian;82 x 87 x 26;;;;
RS;['10.043'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;M3370 = A2793;Northwest of the tell;;Butte NW Tell «S.R. 1927 ? 1,20»;;;RS 10.043;Alphabetic;Ugaritic;73 x 64 x 21;4.47;;;
RS;['17.355'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4691;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1233 ? 2,30;1233;2,3;RS 17.355;Logosyllabic;Akkadian;67 x 63 x 29;;;;
RS;['19.013'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5000;Royal Palace;Southwestern archives;Palais Royal, room 84 (Archives Sud-Ouest);;;RS 19.013;Alphabetic;Ugaritic;137 x 96 x 30;1.90;ritual/list (sacrifices)/list (gifts);;
RS;['19.014'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5001;Royal Palace;Southwestern archives;Palais Royal, room 84 (Archives Sud-Ouest);;;RS 19.014;Alphabetic;Ugaritic;106 x 106 x 24;4.608;;;
RS;['19.015[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.015 [A];Alphabetic;Ugaritic;34 x 34 x 8;;;;
RS;['19.015[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.015 [B];Alphabetic;Ugaritic;19 x 37 x 6;;;;
RS;['19.015[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.015 [C];Alphabetic;Ugaritic;19 x 21 x 8;;;;
RS;['19.015[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.015 [D];Alphabetic;Ugaritic;21 x 18 x 6;;;;
RS;['17.356'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4692;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1223 ? 2,10;1223;2,1;RS 17.356;Logosyllabic;Akkadian;63 x 49 x 25;;;;
RS;['17.357'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, rooms 68-69 (Archives Sud), p.t. 1182 ? 2,0;1182;2;RS 17.357;Logosyllabic;Akkadian;47 x 42 x 23;;;;
RS;['19.015'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5002;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.015;Alphabetic;Ugaritic;130 x 87 x 29;1.91;ritual?/royal festival;;
RS;['19.016'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5003;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest) ? 2,90;;;RS 19.016;Alphabetic;Ugaritic;183 x 131 x 34;4.609;;;
RS;['17.358'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4693;Royal Palace;Southern archive;Palais Royal, rooms 68-69 (Archives Sud), p.t. 1235 ? 1,90;1235;1,9;RS 17.358;Logosyllabic;Akkadian;90 x 69 x 30;;;;
RS;['19.018[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1557 ? 2,35;1557;2,35;RS 19.018 [A];Alphabetic;Ugaritic;43 x 51 x 9;4.612;;;
RS;['19.018[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1557 ? 2,35;1557;2,35;RS 19.018 [B];Alphabetic;Ugaritic;49 x 48 x 22;4.613;;;
RS;['19.018'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5005;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1557 ? 2,35;1557;2,35;RS 19.018;Alphabetic;Ugaritic;153 x 135 x 35;4.611;;;
RS;['18.[375]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[375];Alphabetic;Ugaritic;46 x 38 x 10;4.481;;;
RS;['17.360[D]', '17.360B', '17.135'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4597 +  + Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1043 ? 1,50;1043;1,5;RS 17.135+;Logosyllabic;Akkadian;46 x 49 x 31 39 x 34 30 x 28 x 10;;;;
RS;['17.360'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4694;Royal Palace;Southern archive;"Palais Royal, room 68 (Archives Sud), p.t. 1215 ? 3,30 [inventaire: quatre fragments ""p.t. 12..."" sans profondeur]";1215;3,3;RS 17.360;Logosyllabic;Akkadian;66 x 48 x 22;;;;
RS;['19.021'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5008;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1534 ? 1,40;1534;1,4;RS 19.021;Alphabetic;Ugaritic;43 x 36 x 26;4.615;;;
RS;['19.022'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5009;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.022;Alphabetic;Ugaritic;55 x 57 x 26;2.62;;;
RS;['17.360A', '17.372[A]'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4695;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1215 ? 3,30 [inventaire: p.t. 1207 sans profondeur];1215;3,3;RS 17.360A+;Logosyllabic;Akkadian;107 x 96 x 40;;;;
RS;['17.361A'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4697;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1207 ? 3,40;1207;3,4;RS 17.361A;Logosyllabic;Akkadian;23 x 33 x 21;;;;
RS;['17.362'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4700;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1207 ? 3,40;1207;3,4;RS 17.362;Logosyllabic;Akkadian;49 x 56 x 25;;;;
RS;['17.363'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4701;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1218 ? 3,30;1218;3,3;RS 17.363;Logosyllabic;Akkadian;31 x 40 x 14;;;;
RS;['17.366'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4704;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.366;Logosyllabic;Akkadian;38 x 54 x 23;;;;
RS;['17.367'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4705;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1215 ? 3,30;1215;3,3;RS 17.367;Logosyllabic;Akkadian;39 x 57 x 21;;;;
RS;['19.029'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5016;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.029;Alphabetic;Ugaritic;67 x 52 x 21;2.63;;;
RS;['17.368'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4706;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1210 ? 1,60;1210;1,6;RS 17.368;Logosyllabic;Akkadian;63 x 90 x 42;;;;
RS;['18.[376]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[376];Alphabetic;Ugaritic;17 x 26 x 4;4.482;;;
RS;['17.369'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4707;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1217 ? 3,40;1217;3,4;RS 17.369;Logosyllabic;Akkadian;56 x 85 x 48;;;;
RS;['17.372[B]'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1208 ? 2,20;1208;2,2;RS 17.372 [B];Logosyllabic;Akkadian;30 x 28 x 10;;;;
RS;['17.373'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4712;Royal Palace;Southern archive;Palais Royal, entre rooms 68 et 69 (Archives Sud), p.t. 1042 ? 1,70;1042;1,7;RS 17.373;Logosyllabic;Akkadian;95 x 94 x 50;;;;
RS;['17.376', '17.377'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4713;Royal Palace;;Palais Royal (Archives Sud), déblais;;;RS 17.376+;Logosyllabic;Akkadian;73 x 65 x 26;;;;
RS;['17.378A'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4714;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1219 ? 3,40;1219;3,4;RS 17.378A;Logosyllabic;Akkadian;78 x 67 x 24;;;;
RS;['17.379', '17.235', '17.381', '17.335'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4627;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1162 ? 1,60;1162;1,6;RS 17.235+;Logosyllabic;Akkadian;134 x 85 x 38;;;;
RS;['17.379[A]'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4715;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1212 ? 3,40;1212;3,4;RS 17.379 [A];Logosyllabic;Akkadian;54 x 46 x 26;;;;
RS;['17.382', '17.380'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4716;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1219 ? 3,40;1219;3,4;RS 17.380+;Logosyllabic;Akkadian;125 x 73 x 35;;;;
RS;['17.383'];PRAVDA;Letter;Tablet, Logosyllabic Akkadian;;Tablet;DO 4717;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.383;Logosyllabic;Akkadian;89 x 64 x 25;;;;
RS;['17.385'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4719;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.385;Logosyllabic;Akkadian;68 x 57 x 24;;;;
RS;['17.386'];;;Tablet, Alphabetic Ugaritic, Logosyllabic Akkadian;;Tablet;DO 4720;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.386;"Logosyllabic; Alphabetic";"Akkadian; Ugaritic";80 x 50 x 20;4.308;;;
RS;['19.037'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5024;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.037;Alphabetic;Ugaritic;74 x 51 x 23;4.616;;;
RS;['17.388'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4721;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.388;Logosyllabic;Akkadian;83 x 63 x 29;;;;
RS;['19.039'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5026;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.039+;Alphabetic;Ugaritic;74 x 55 x 33;1.92;myth;;
RS;['19.040'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5027;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1557 ? 2,30;1557;2,3;RS 19.040;Alphabetic;Ugaritic;65 x 90 x 26;5.13;;;
RS;['17.390'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4723;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.390;Logosyllabic;Akkadian;67 x 54 x 21;;;;
RS;['17.391'];PRAVDA;Letter;Tablet, Logosyllabic Akkadian;;Tablet;DO 4724;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.391;Logosyllabic;Akkadian;64 x 49 x 25;;;;
RS;['17.393'];PRAVDA;Letter;Tablet, Logosyllabic Akkadian;;Tablet;DO 4726;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.393;Logosyllabic;Akkadian;66 x 52 x 20;;;;
RS;['18.[377]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[377];Alphabetic;Ugaritic;25 x 20 x 3;4.483;;;
RS;['19.045'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5032;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.045;Alphabetic;Ugaritic;110 x 79 x 29;4.618;;;
RS;['17.394', '17.427'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4727;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 3,40;901;3,4;RS 17.394+;Logosyllabic;Akkadian;88 x 65 x 27;;;;
RS;['18.[379]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;;;unknown;;;RS 18.[379];Alphabetic;Ugaritic;50 x 48 x 24;4.484;;;
RS;['19.048[A]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5035 [A];Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.048 [A];Alphabetic;Ugaritic;92 x 66 x 17;4.621;;;
RS;['19.048[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5035 [B];Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.048 [B];Alphabetic;Ugaritic;46 x 59 x 20;4.622;;;
RS;['19.048[C]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.048 [C];Alphabetic;Ugaritic;24 x 19 x 9;4.620;;;
RS;['19.048[D]'];;;Tablet, Alphabetic Ugaritic;;Tablet;Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.048 [D];Alphabetic;Ugaritic;25 x 27 x 19;;;;
RS;['19.049[B]'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5036 [B];Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.049 [B];Alphabetic;Ugaritic;71 x 55 x 12;4.623;;;
RS;['19.049[C]', '19.049[A]'];PRAVDA;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5036 [A], Damas s.n.;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.049 [C];Alphabetic;Ugaritic;32 x 40 x 17, 72 x 89 x 14;4.624;;;
RS;['17.396'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4729;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1201 ? 3,0;1201;3;RS 17.396;Logosyllabic;Akkadian;67 x 96 x 29;;;;
RS;['17.398'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4730;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 0,30;901;0,3;RS 17.398;Logosyllabic;Akkadian;39 x 39 x 12;;;;
RS;['19.052'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5039;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1557 ? 2,30;1557;2,3;RS 19.052;Alphabetic;Ugaritic;83 x 114 x 28;4.625;;;
RS;['17.403'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4732;Residential District;;"Quartier Rés., p.t. 1102 [L'inv. a tort? Cahier : «fl?- che»; = 1002?]";1102;;RS 17.403;Logosyllabic;Akkadian;141 x 84 x 52;;;;
RS;['19.054'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5041;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.054;Alphabetic;Ugaritic;60 x 94 x 14;1.93;myth/scribal exercise?;;
RS;['17.406'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1002 ? 0,25;1002;0,25;RS 17.406;Logosyllabic;Akkadian;69 x 57 x 23;;;;
RS;['19.056'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5043;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1574 ? 3,10;1574;3,1;RS 19.056;Alphabetic;Ugaritic;53 x 71 x 22;4.626;;;
RS;['17.407'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4733;Royal Palace;Southern archive;Palais Royal, room 69 (Archives Sud), p.t. 1157 ? 1,30;1157;1,3;RS 17.407;Logosyllabic;Akkadian;103 x 99 x 27;;;;
RS;['19.058'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5045;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1556 ? 3,20;1556;3,2;RS 19.058;Alphabetic;Ugaritic;75 x 115 x 29;4.627;;;
RS;['19.059'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5046;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.059;Alphabetic;Ugaritic;158 x 118 x 24;1.94;myth?;;
RS;['19.060'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5047;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.060;Alphabetic;Ugaritic;45 x 96 x 22;4.628;;;
RS;['19.061'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5048;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest);;;RS 19.061;Alphabetic;Ugaritic;70 x 111 x 24;4.629;;;
RS;['19.062'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 3567;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1601 ? 2,30;1601;2,3;RS 19.062;Alphabetic;Ugaritic;79 x 55 x 24;4.630;;;
RS;['17.408'];;;Tablet, Logosyllabic Akkadian;;Tablet;Damas s.n.;Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1035 ? 1,25;1035;1,25;RS 17.408;Logosyllabic;Akkadian;47 x 39 x 21;;;;
RIH;['2001/01'];;;;;Tablet;Damas s.n.;Ras Ibn-Hani;;Palais Nord E 85 SE, espace nord, au nord du mur H54;;;RIH 2001/01;Alphabetic;Ugaritic;51 x 40 x 16;;;;
RS;['20.201G', '20.426G'];PRAVDA;Lexical;"Tablet, Logosyllabic Akkadian; Sumerian; Hurrian; Ugaritic";;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 10, p.t. 1847 ? 1,60;1847;1,6;RS 20.201G+;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";42 x 55 x 9;;;;
RIH;['2002/01'];;;;;Tablet;Damas s.n.;Ras Ibn-Hani;;Palais Nord F 83/84 E remblai caillouteux;;;RIH 2002/01;Alphabetic;Ugaritic;57 x 27 x 24;;;;
RS;['19.067'];;;Tablet;;Tablet;DO 5147;Between Royal Palace and South Palace;;Entre Palais Royal et Palais Sud, p.t. 1615 ? 2,20;1615;2,2;;;;31 x 51 x 15;;;;
RS;['20.426B'];PRAVDA;Lexical;"Tablet, Logosyllabic Akkadian; Hurrian; Sumerian; Ugaritic";;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1844 ? 1,40;1844;1,4;RS 20.426B;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";50 x 52 x 17;;;;
RS;['20.426D'];;;"Tablet, Logosyllabic Akkadian; Hurrian; Sumerian; Ugaritic";;Tablet;Damas s.n.;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1844 ? 1,40;1844;1,4;RS 20.426D;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";33 x 24 x 8;;;;
RS;['20.429'];;;"Tablet, Logosyllabic Akkadian; Hurrian; Sumerian; Ugaritic??";;Tablet;DO 5418;House of Rapanu;;Quartier Résidentiel, M. de Rapanu, room 5, p.t. 1844 ? 1,40;1844;1,4;RS 20.429;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";100 x 80 x 17;;;;
RS;['21.063D'];;;"Tablet, Logosyllabic Akkadian; Hurrian??; Sumerian??; Ugaritic";;Tablet;Damas s.n.;Debris;;Déblais;;;RS 21.063D;Logosyllabic;"Akkadian; Hurrian; Sumerian; Ugaritic";26 x 24 x 17;;;;
RS;['19.072'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5057;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1540 ? 1,90;1540;1,9;RS 19.072;Alphabetic;Ugaritic;94 x 135 x 26;4.631;;;
RS;['19.073'];;;Tablet, Alphabetic Ugaritic;;Tablet;DO 5058;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1539 ? 1,70;1539;1,7;RS 19.073;Alphabetic;Ugaritic;85 x 66 x 23;3.23;;;
RS;['17.410A'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4734 [A];Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1177 ? 2,10;1177;2,1;RS 17.410A;Logosyllabic;Akkadian;32 x 36 x 24;;;;
RS;['17.410B'];PRAVDA;Legal;Tablet, Logosyllabic Akkadian;;Tablet;DO 4734 [B];Royal Palace;Southern archive;Palais Royal, room 68 (Archives Sud), p.t. 1177 ? 2,10;1177;2,1;RS 17.410B;Logosyllabic;Akkadian;65 x 28 x 23;;;;
RS;['19.076'];;;Tablet;;Tablet;DO 5149;Royal Palace;Southwestern archives;Palais Royal, room 81 (Archives Sud-Ouest), p.t. 1574 ? 3,10;1574;3,1;;;;20 x 32 x 19;;;;
RS;['17.422'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4735;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 2,10;901;2,1;RS 17.422;Logosyllabic;Akkadian;81 x 56 x 25;;;;
RS;['17.423'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4736;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 2,10;901;2,1;RS 17.423;Logosyllabic;Akkadian;73 x 59 x 23;;;;
RS;['17.424', '17.039', '17.397[B]'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4535;Royal Palace;Central archive;Palais Royal, cour IV (Archives Centrales), p.t. 734 ? 0,60;734;0,6;RS 17.039+;Logosyllabic;Akkadian;70 x 55 x 25;;;;
RS;['17.425'];;;Tablet, Logosyllabic Akkadian;;Tablet;DO 4737;Royal Palace;Eastern archive;Palais Royal, room 56 (Archives Est), p.t. 901 ? 2,10;901;2,1;RS 17.425;Logosyllabic;Akkadian;78 x 58 x 24;;;;
